cup_name,financial_name
Holstein Kiel,Holstein Kiel
Borussia Dortmund,Borussia Dortmund
1899 Hoffenheim,TSG 1899 Hoffenheim
SpVgg Greuther Furth,SpVgg Greuther Fürth
Hertha Berlin,Hertha BSC
Borussia Monchengladbach,Borussia Mönchengladbach
VfB Stuttgart,VfB Stuttgart
Bayern Munich,Bayern Munich
Vfl Bochum,VfL Bochum
FC Nurnberg,1.FC Nuremberg
FC Augsburg,FC Augsburg
Fortuna Dusseldorf,Fortuna Düsseldorf
FC Kaiserslautern,1.FC Kaiserslautern
FSV Mainz 05,1.FSV Mainz 05
Hamburger SV,Hamburger SV
FC Schalke 04,FC Schalke 04
SpVgg Unterhaching,SpVgg Unterhaching
FC Heidenheim,1.FC Heidenheim 1846
RB Leipzig,RB Leipzig
TSV 1860 Munich,TSV 1860 Munich
Eintracht Trier,
Dynamo Dresden,SG Dynamo Dresden
SC Paderborn 07,SC Paderborn 07
1.FC Köln,1.FC Köln
MSV Duisburg,MSV Duisburg
Rot-weiss Essen,Rot-Weiss Essen
Hannover 96,Hannover 96
Karlsruher SC,Karlsruher SC
Erzgebirge AUE,FC Erzgebirge Aue
FC Ingolstadt 04,FC Ingolstadt 04
FSV Frankfurt,FSV Frankfurt
Eintracht Frankfurt,Eintracht Frankfurt
Union Berlin,1.FC Union Berlin
VfL Wolfsburg,VfL Wolfsburg
FC Saarbrucken,1.FC Saarbrücken
Jahn Regensburg,SSV Jahn Regensburg
SV Wehen,SV Wehen Wiesbaden
VfL Osnabruck,VfL Osnabrück
BFC Dynamo,
Hallescher FC,Hallescher FC
Werder Bremen,SV Werder Bremen
Bayer Leverkusen,Bayer 04 Leverkusen
FC St. Pauli,FC St. Pauli
Arminia Bielefeld,Arminia Bielefeld
Rot Weiss Ahlen,Rot Weiss Ahlen
SV Babelsberg 03,SV Babelsberg 03
VfB Oldenburg,VfB Oldenburg
Energie Cottbus,FC Energie Cottbus
SV Sandhausen,SV Sandhausen
Kickers Emden,
Hansa Rostock,FC Hansa Rostock
Rot-weiss Oberhausen,Rot-Weiß Oberhausen
Oberneuland,
SC Freiburg,SC Freiburg
Alemannia Aachen,Alemannia Aachen
Eimsbütteler TV,
Anker Wismar,
ZFC Meuselwitz,
Germania Windeck,
Teningen,
Hessen Kassel,
Zweibrücken,
Wiedenbrück,
Eintracht Braunschweig,Eintracht Braunschweig
Kickers Offenbach,Kickers Offenbach
BAK '07,
Preussen Munster,Preußen Münster
Wormatia Worms,
Havelse,TSV Havelse
VfR Aalen,VfR Aalen
SG Sonnenhof Grossaspach,SG Sonnenhof Großaspach
VfB Lubeck,VfB Lübeck
Wilhelmshaven,
Victoria Hamburg,
Falkensee-Finkenkrug,
Offenburger FV,
Carl Zeiss Jena,FC Carl Zeiss Jena
Schönberg,
FC Nottingen,
Hennef 05,
Wacker Burghausen,SV Wacker Burghausen
Roßbach / Verscheid,
Chemnitzer FC,Chemnitzer FC
SV Darmstadt 98,SV Darmstadt 98
SF Baumberg,
Aumund-Vegesack,
Neckarsulmer SU,
Lippstadt 08,
Fortuna Koln,SC Fortuna Köln
Neustrelitz,
FC Magdeburg,1.FC Magdeburg
Bahlinger SC,
1860 Rosenheim,
Pfeddersheim,
Schott Jena,
Optik Rathenow,
VfR Neumünster,
Illertissen,
Schwarz-Weiß Rehden,
FC Wurzburger Kickers,Würzburger Kickers
Alemannia Waldalgesheim,
Stuttgarter Kickers,Stuttgarter Kickers
FC 08 Homburg,
FC Viktoria Koln,FC Viktoria Köln
FC Astoria Walldorf,
Bremer Sv,
Waldkirch,
FT Braunschweig,
Viktoria Berlin,FC Viktoria 1889 Berlin
Sportfreunde Siegen,
Paloma,
Neubrandenburg 04,
TuS Erndtebruck,
SV Elversberg,SV 07 Elversberg
SV Meppen,SV Meppen
Sportfreunde Lotte,Sportfreunde Lotte
Barmbek-Uhlenhorst,
Salmrohr,
Pirmasens,
Reutlingen,
BFC Preussen,
FC 08 Villingen,
SV Drochtersen/assel,
FV Ravensburg,
FSV Zwickau,FSV Zwickau
Erzgebirge Aue,FC Erzgebirge Aue
SG Wattenscheid 09,
Eintracht Norderstedt,
Germania Egestorf,
Sc Hauenstein,
FC Schweinfurt 05,FC Schweinfurt 05
Bonner SC,Bonner SC
Sportfreunde Dorfmerkingen,
Sv Morlautern,
Rot-weiss Erfurt,Rot-Weiß Erfurt
FC Rielasingen-Arlen,
Germania Halberstadt,Germania Halberstadt
Leher,
Luneburger SK Hansa,
SV Eichede,
TuS Koblenz,TuS Koblenz
Weiche Flensburg,SC Weiche Flensburg
SV Rodinghausen,SV Rödinghausen
BSG Chemie Leipzig,BSG Chemie Leipzig
SSV ULM 1846,SSV Ulm 1846
BSC Hastedt,
FC Lok Stendal,
SSV Jeddeloh,
TSV Steinbach,
TuS RW Koblenz,
CFR Pforzheim,
SV Linx,
Tus Dassendorf,
Atlas Delmenhorst,
KFC Uerdingen 05,KFC Uerdingen 05
Waldhof Mannheim,SV Waldhof Mannheim
Baunatal,
Verl,SC Verl
Eichstätt,
Wacker Nordhausen,
Union Fürstenwalde,
Todesfelde,
FV Engers 07,
Altglienicke,
Eintracht Celle,
Meinerzhagen,
Düren Merzenich,
Lokomotive Leipzig,
Bayreuth,SpVgg Bayreuth
Greifswalder FC,
Türkgücü-Ataspor,Türkgücü München
VfL Oldenburg,VfB Oldenburg
Wuppertaler SV,
Kaan-Marienborn,
Schott Mainz,
Teutonia Ottensen,
Einheit Wernigerode,
Oberachern,
BW Lohne,
Straelen,
